name,cat,file,statsDataId,unit,table,agg
総合CPI,物価,cpi,0003427113,,消費者物価指数（2020年基準）,last
コアCPI,物価,cpi,0003427113,,消費者物価指数（2020年基準）,last
コアコアCPI,物価,cpi,0003427113,,消費者物価指数（2020年基準）,last
財価格指数,物価,cpi,0003427113,,消費者物価指数（2020年基準）,last
サービス価格指数,物価,cpi,0003427113,,消費者物価指数（2020年基準）,last
全産業売上高,企業業績,corp,0003060191,百万円,時系列データ 金融業、保険業以外の業種(原数値),last
製造業売上高,企業業績,corp,0003060191,百万円,時系列データ 金融業、保険業以外の業種(原数値),last
非製造業売上高,企業業績,corp,0003060191,百万円,時系列データ 金融業、保険業以外の業種(原数値),last
営業利益,企業業績,corp,0003060191,百万円,時系列データ 金融業、保険業以外の業種(原数値),last
経常利益,企業業績,corp,0003060191,百万円,時系列データ 金融業、保険業以外の業種(原数値),last
設備投資額,企業業績,corp,0003060191,百万円,時系列データ 金融業、保険業以外の業種(原数値),last
利益剰余金,企業業績,corp,0003060191,百万円,時系列データ 金融業、保険業以外の業種(原数値),last
現金・預金,企業業績,corp,0003060191,百万円,時系列データ 金融業、保険業以外の業種(原数値),last
消費支出,家計・消費,household,0002070001,円,用途分類 用途分類（総数）,last
平均消費性向,家計・消費,household,0002070001,％,用途分類 用途分類（総数）,last
実収入,家計・消費,household,0002070001,円,用途分類 用途分類（総数）,last
可処分所得,家計・消費,household,0002070001,円,用途分類 用途分類（総数）,last
小売業販売額,家計・消費,household,0004032483,,第１部 商業販売 第１表 業種別商業販売額及び前年（度、同期、同月）比増減率,last
就業者数,雇用・賃金,labor,0003005798,万人,就業状態別15歳以上人口（2000年1月～）,last
正規雇用者数,雇用・賃金,labor,0003006361,万人,年齢階級，教育，雇用形態別雇用者数(2002年1-3月期～),last
非正規雇用者数,雇用・賃金,labor,0003006361,万人,年齢階級，教育，雇用形態別雇用者数(2002年1-3月期～),last
完全失業者数,雇用・賃金,labor,0003005798,万人,就業状態別15歳以上人口（2000年1月～）,last
完全失業率,雇用・賃金,labor,0003005865,％,労働力人口比率，就業率及び完全失業率（2000年1月～）,last
若年失業率,雇用・賃金,labor,0002060004,％,年齢階級別労働力人口比率，就業率及び完全失業率（1968年1月～）,last
非労働力人口,雇用・賃金,labor,0003005798,万人,就業状態別15歳以上人口（2000年1月～）,last
名目GDP,GDP・需要,gdp,0004049751,10億円,4.主要系列表 1.国内総生産(支出側)　名目-四半期　金額・対前年同期増加率,last
実質GDP,GDP・需要,gdp,0004049756,10億円,4.主要系列表 1.国内総生産(支出側)　実質:連鎖方式-四半期　金額(2020暦年連鎖価格)・対前年同期増加率,last
GDPデフレーター,GDP・需要,gdp,0004049759,,4.主要系列表 1.国内総生産(支出側)　デフレーター:連鎖方式-四半期　指数(2020暦年=100)・対前年同期増加率,last
民間最終消費支出,GDP・需要,gdp,0004049756,10億円,4.主要系列表 1.国内総生産(支出側)　実質:連鎖方式-四半期　金額(2020暦年連鎖価格)・対前年同期増加率,last
住宅投資,GDP・需要,gdp,0004049756,10億円,4.主要系列表 1.国内総生産(支出側)　実質:連鎖方式-四半期　金額(2020暦年連鎖価格)・対前年同期増加率,last
設備投資,GDP・需要,gdp,0004049756,10億円,4.主要系列表 1.国内総生産(支出側)　実質:連鎖方式-四半期　金額(2020暦年連鎖価格)・対前年同期増加率,last
政府最終消費支出,GDP・需要,gdp,0004049756,10億円,4.主要系列表 1.国内総生産(支出側)　実質:連鎖方式-四半期　金額(2020暦年連鎖価格)・対前年同期増加率,last
公共投資,GDP・需要,gdp,0004049756,10億円,4.主要系列表 1.国内総生産(支出側)　実質:連鎖方式-四半期　金額(2020暦年連鎖価格)・対前年同期増加率,last
輸出,GDP・需要,gdp,0004049756,10億円,4.主要系列表 1.国内総生産(支出側)　実質:連鎖方式-四半期　金額(2020暦年連鎖価格)・対前年同期増加率,last
輸入,GDP・需要,gdp,0004049756,10億円,4.主要系列表 1.国内総生産(支出側)　実質:連鎖方式-四半期　金額(2020暦年連鎖価格)・対前年同期増加率,last
鉱工業生産指数,生産・製造業,production,0004052181,,業種別原指数【月次】 付加価値額生産（2020＝100.0）,last
鉱工業出荷指数,生産・製造業,production,0004052182,,業種別原指数【月次】 出荷（2020＝100.0）,last
鉱工業在庫指数,生産・製造業,production,0004052183,,業種別原指数【月次】 在庫（2020＝100.0）,last
鉱工業在庫率指数,生産・製造業,production,0004052184,,業種別原指数【月次】 在庫率（2020＝100.0）,last
資本財出荷指数,生産・製造業,production,0004052190,,財別原指数【月次】 出荷（2020＝100.0）,last
電子部品・デバイス工業生産指数,生産・製造業,production,0004052181,,業種別原指数【月次】 付加価値額生産（2020＝100.0）,last
自動車工業生産指数,生産・製造業,production,0004052181,,業種別原指数【月次】 付加価値額生産（2020＝100.0）,last
CI先行指数,景気循環,cycle,0003446461,2020年=100,長期系列,last
CI一致指数,景気循環,cycle,0003446461,2020年=100,長期系列,last
CI遅行指数,景気循環,cycle,0003446461,2020年=100,長期系列,last
新設住宅着工戸数,不動産・建設,realestate,0003114534,戸,（新設住宅）利用関係別、構造別、住宅の種類別／戸数、床面積,last
貸家着工戸数,不動産・建設,realestate,0003114534,戸,（新設住宅）利用関係別、構造別、住宅の種類別／戸数、床面積,last
分譲住宅着工戸数,不動産・建設,realestate,0003114534,戸,（新設住宅）利用関係別、構造別、住宅の種類別／戸数、床面積,last
